,FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
0,0.6,207,21/01/2019,,345,207,Mon
1,0.8,201.6,24/04/2019,05/01/2020,252,205.6,Wed
2,1,183,02/07/2019,17/01/2020,183,200,Tue
3,0.6,155.4,17/04/2019,06/01/2020,259,159,Wed
4,1,137,17/07/2018,30/11/2018,137,137,Tue
5,0.64,136.32,24/11/2017,01/08/2018,213,160.64,Fri
6,0.72,132.48,05/09/2018,07/03/2019,184,132.48,Wed
7,1,130,11/06/2019,18/10/2019,130,130,Tue
8,0.64,125.44,19/06/2019,,196,125.44,Wed
9,0.68,112.88,19/07/2019,31/12/2019,166,112.88,Fri
10,1,111,12/09/2019,,111,111,Thu
11,1,110,13/09/2019,09/01/2020,110,119,Fri
12,1,103,05/03/2018,15/06/2018,103,103,Mon
13,0.5,101.5,15/05/2019,03/12/2019,203,101.5,Wed
14,1,101,23/01/2019,03/05/2019,101,101,Wed
15,0.8,96,08/06/2017,30/04/2018,120,261.6,Thu
16,0.61333,93.83949,01/08/2019,,153,93.83949,Thu
17,0.8,93.6,26/03/2018,20/07/2018,117,93.6,Mon
18,0.5,93,18/04/2017,05/07/2018,186,222,Tue
19,1,93,30/04/2019,31/07/2019,93,93,Tue
20,1,89,04/10/2019,,89,89,Fri
21,0.6,83.4,18/09/2018,03/02/2019,139,83.4,Tue
22,0.66667,80.0004,05/02/2018,04/06/2018,120,80.0004,Mon
23,0.6,78.6,08/01/2018,18/05/2018,131,78.6,Mon
24,0.68,77.52,20/05/2019,10/09/2019,114,77.52,Mon
25,0.6,76.2,13/03/2019,17/07/2019,127,76.2,Wed
26,0.64,76.16,15/07/2019,10/11/2019,119,76.16,Mon
27,0.8,76,10/04/2019,13/07/2019,95,76,Wed
28,0.50667,74.98716,14/11/2018,10/04/2019,148,74.98716,Wed
29,0.8,72.8,05/03/2019,03/06/2019,91,72.8,Tue
30,0.6,72,14/06/2017,30/04/2018,120,192.6,Wed
31,0.8,68.8,07/10/2019,,86,68.8,Mon
32,0.8,67.2,30/08/2018,21/11/2018,84,67.2,Thu
33,0.90667,67.09358,23/11/2017,15/03/2018,74,102.45371,Thu
34,1,65,29/08/2019,01/11/2019,65,65,Thu
35,1,64,15/07/2019,16/09/2019,64,64,Mon
36,1,64,29/10/2019,02/01/2020,64,66,Tue
37,1,63,30/10/2019,,63,63,Wed
38,0.48,62.88,14/02/2019,24/06/2019,131,62.88,Thu
39,0.51947,62.3364,22/03/2019,19/07/2019,120,62.3364,Fri
40,1,62,20/03/2018,20/05/2018,62,62,Tue
41,1,61,09/05/2019,08/07/2019,61,61,Thu
42,0.66667,58.66696,07/06/2019,02/09/2019,88,58.66696,Fri
43,1,57,14/05/2019,09/07/2019,57,57,Tue
44,1,56,14/10/2019,08/12/2019,56,56,Mon
45,0.90667,55.30687,15/11/2018,14/01/2019,61,55.30687,Thu
46,0.48,54.24,25/03/2019,15/07/2019,113,54.24,Mon
47,0.77333,53.35977,02/01/2018,11/03/2018,69,53.35977,Tue
48,1,53,25/02/2019,18/04/2019,53,53,Mon
49,0.85333,52.05313,05/06/2019,04/08/2019,61,52.05313,Wed
50,1,52,24/07/2019,13/09/2019,52,52,Wed
51,0.64,51.84,04/01/2019,25/03/2019,81,51.84,Fri
52,1,51,16/04/2018,05/06/2018,51,51,Mon
53,0.8,50.4,30/05/2018,31/07/2018,63,50.4,Wed
54,1,50,24/08/2018,12/10/2018,50,50,Fri
55,0.6,49.2,29/07/2019,18/10/2019,82,49.2,Mon
