Date,Month,Day,Weekday,Absences,precip_intensity_max,precip_intensity_avg,precip_type,wind_speed_max,wind_speed_avg,gust_max,gust_avg,temp_min,temp_max,temp_avg,temp_day,temp_night,humidity
2018_01_01,1.0,1.0,Monday,29.0,0.0021,0.0066,0.0,3.18,3.21,17.13,9.44,11.63,16.78,14.59,16.78,15.03,0.86
2018_01_02,1.0,2.0,Tuesday,41.0,0.0137,0.0284,1.0,3.99,4.02,22.81,11.46,14.66,18.82,16.62,18.82,11.96,0.66
2018_01_03,1.0,3.0,Wednesday,41.0,0.09699999999999999,0.141,0.0,2.39,2.36,11.66,10.02,11.96,18.5,15.1,18.5,7.29,0.7
2018_01_04,1.0,4.0,Thursday,41.0,0.0204,0.0168,0.0,2.14,2.17,13.97,7.08,7.29,19.49,13.9,19.49,7.9,0.73
2018_01_05,1.0,5.0,Friday,40.0,0.2392,0.0615,1.0,4.35,4.34,8.05,4.09,7.9,20.48,15.67,20.48,13.63,0.76
2018_01_06,1.0,6.0,Saturday,33.0,1.1101,0.0,1.0,4.31,4.28,10.23,4.11,13.63,20.5,17.35,20.5,18.04,0.75
2018_01_07,1.0,7.0,Sunday,34.0,0.4654,0.006,1.0,5.48,5.45,12.17,5.88,18.1,18.92,18.24,18.92,18.18,0.87
2018_01_08,1.0,8.0,Monday,40.0,0.0095,0.0133,0.0,4.41,4.44,17.39,5.9,18.18,20.3,19.03,20.3,17.68,0.85
2018_01_09,1.0,9.0,Tuesday,38.0,0.0083,0.0551,2.0,4.73,4.7,9.65,7.84,13.04,18.66,17.26,18.66,13.04,0.81
2018_01_10,1.0,10.0,Wednesday,43.0,2.3721,0.0326,1.0,5.84,5.75,15.74,2.89,11.42,17.03,14.63,17.03,7.34,0.68
2018_01_11,1.0,11.0,Thursday,43.0,1.0061,0.0518,1.0,3.67,3.67,9.59,16.34,7.34,18.09,13.6,18.09,12.02,0.74
2018_01_12,1.0,12.0,Friday,38.0,1.0497,0.0,1.0,3.56,3.54,21.01,9.72,12.02,24.69,17.11,24.69,12.69,0.73
2018_01_13,1.0,13.0,Saturday,35.0,0.1489,0.067,1.0,4.79,4.72,15.43,6.76,12.69,19.46,16.33,19.46,13.04,0.8
2018_01_14,1.0,14.0,Sunday,35.0,0.3328,0.0113,1.0,6.56,6.45,8.43,14.91,13.04,22.11,17.54,22.11,16.79,0.78
2018_01_15,1.0,15.0,Monday,35.0,0.0041,0.0016,1.0,4.36,4.32,17.39,10.96,13.96,17.76,15.71,17.29,12.98,0.86
2018_01_16,1.0,16.0,Tuesday,35.0,0.2514,0.2593,1.0,2.3,2.25,16.25,3.98,9.43,18.04,14.6,18.04,5.61,0.74
2018_01_17,1.0,17.0,Wednesday,35.0,0.9046,0.0005,1.0,3.93,3.86,18.95,5.45,5.61,17.42,12.22,17.42,10.65,0.75
2018_01_18,1.0,18.0,Thursday,35.0,0.2089,0.0322,1.0,4.05,3.99,15.18,5.06,10.64,18.47,15.1,18.47,6.06,0.75
2018_01_19,1.0,19.0,Friday,35.0,0.0,0.0811,1.0,3.8,3.72,3.96,11.24,6.06,22.3,14.22,22.3,9.88,0.73
2018_01_20,1.0,20.0,Saturday,35.0,0.0041,0.2568,1.0,3.16,3.14,8.96,7.04,9.88,25.15,16.36,25.15,14.03,0.63
2018_01_21,1.0,21.0,Sunday,35.0,0.0198,0.0014,0.0,6.38,6.22,16.81,15.99,14.02,23.04,17.87,23.04,12.8,0.65
2018_01_22,1.0,22.0,Monday,35.0,0.1953,0.0038,1.0,5.89,5.78,20.3,14.4,12.8,22.66,17.8,22.66,14.88,0.75
2018_01_23,1.0,23.0,Tuesday,35.0,0.0,0.0,1.0,5.24,5.23,4.37,9.26,14.88,22.16,18.49,22.16,14.81,0.75
2018_01_24,1.0,24.0,Wednesday,35.0,0.5375,0.0491,1.0,10.72,10.61,22.32,17.73,13.91,19.04,16.2,17.15,6.76,0.63
2018_01_25,1.0,25.0,Thursday,35.0,0.5812,0.0007,1.0,5.36,5.47,7.81,8.04,6.76,15.03,12.23,14.16,9.95,0.78
2018_01_26,1.0,26.0,Friday,35.0,0.5157,0.0,0.0,5.78,5.79,9.65,9.96,9.95,13.16,11.36,13.16,10.95,0.86
2018_01_27,1.0,27.0,Saturday,35.0,0.0261,0.0,1.0,5.7,5.64,17.13,14.7,10.03,15.03,12.78,15.03,2.68,0.62
