FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
0.6,207,1/21/2019,12/31/4712,345,207,Mon
0.8,201.6,4/24/2019,01/05/2020,252,205.6,Wed
1,183,07/02/2019,1/17/2020,183,200,Tue
0.6,155.4,4/17/2019,01/06/2020,259,159,Wed
1,137,7/17/2018,11/30/2018,137,137,Tue
0.64,136.32,11/24/2017,08/01/2018,213,160.64,Fri
0.72,132.48,09/05/2018,03/07/2019,184,132.48,Wed
1,130,06/11/2019,10/18/2019,130,130,Tue
0.64,125.44,6/19/2019,12/31/4712,196,125.44,Wed
0.68,112.88,7/19/2019,12/31/2019,166,112.88,Fri
1,111,09/12/2019,12/31/4712,111,111,Thu
1,110,9/13/2019,01/09/2020,110,119,Fri
1,103,03/05/2018,6/15/2018,103,103,Mon
0.5,101.5,5/15/2019,12/03/2019,203,101.5,Wed
1,101,1/23/2019,05/03/2019,101,101,Wed
0.8,96,06/08/2017,4/30/2018,120,261.6,Thu
0.61333,93.83949,08/01/2019,12/31/4712,153,93.83949,Thu
0.8,93.6,3/26/2018,7/20/2018,117,93.6,Mon
0.5,93,4/18/2017,07/05/2018,186,222,Tue
1,93,4/30/2019,7/31/2019,93,93,Tue
1,89,10/04/2019,12/31/4712,89,89,Fri
0.6,83.4,9/18/2018,02/03/2019,139,83.4,Tue
0.66667,80.0004,02/05/2018,06/04/2018,120,80.0004,Mon
0.6,78.6,01/08/2018,5/18/2018,131,78.6,Mon
0.68,77.52,5/20/2019,09/10/2019,114,77.52,Mon
0.6,76.2,3/13/2019,7/17/2019,127,76.2,Wed
0.64,76.16,7/15/2019,11/10/2019,119,76.16,Mon
0.8,76,04/10/2019,7/13/2019,95,76,Wed
0.50667,74.98716,11/14/2018,04/10/2019,148,74.98716,Wed
0.8,72.8,03/05/2019,06/03/2019,91,72.8,Tue
0.6,72,6/14/2017,4/30/2018,120,192.6,Wed
0.8,68.8,10/07/2019,12/31/4712,86,68.8,Mon
0.8,67.2,8/30/2018,11/21/2018,84,67.2,Thu
0.90667,67.09358,11/23/2017,3/15/2018,74,102.45371,Thu
1,65,8/29/2019,11/01/2019,65,65,Thu
1,64,7/15/2019,9/16/2019,64,64,Mon
1,64,10/29/2019,01/02/2020,64,66,Tue
1,63,10/30/2019,12/31/4712,63,63,Wed
0.48,62.88,2/14/2019,6/24/2019,131,62.88,Thu
0.51947,62.3364,3/22/2019,7/19/2019,120,62.3364,Fri
1,62,3/20/2018,5/20/2018,62,62,Tue
1,61,05/09/2019,07/08/2019,61,61,Thu
0.66667,58.66696,06/07/2019,09/02/2019,88,58.66696,Fri
1,57,5/14/2019,07/09/2019,57,57,Tue
1,56,10/14/2019,12/08/2019,56,56,Mon
0.90667,55.30687,11/15/2018,1/14/2019,61,55.30687,Thu
0.48,54.24,3/25/2019,7/15/2019,113,54.24,Mon
0.77333,53.35977,01/02/2018,03/11/2018,69,53.35977,Tue
1,53,2/25/2019,4/18/2019,53,53,Mon
0.85333,52.05313,06/05/2019,08/04/2019,61,52.05313,Wed
1,52,7/24/2019,9/13/2019,52,52,Wed
0.64,51.84,01/04/2019,3/25/2019,81,51.84,Fri
1,51,4/16/2018,06/05/2018,51,51,Mon
0.8,50.4,5/30/2018,7/31/2018,63,50.4,Wed
1,50,8/24/2018,10/12/2018,50,50,Fri
0.6,49.2,7/29/2019,10/18/2019,82,49.2,Mon
0.8,48.8,10/17/2017,03/02/2018,61,109.6,Tue
1,48,06/03/2018,7/20/2018,48,48,Sun
0.72,47.52,1/16/2019,3/22/2019,66,47.52,Wed
0.9,46.8,8/21/2019,10/11/2019,52,46.8,Wed
0.72,46.8,4/30/2019,07/03/2019,65,46.8,Tue
0.8,46.4,10/08/2019,12/04/2019,58,46.4,Tue
0.8,46.4,7/31/2019,9/26/2019,58,46.4,Wed
